fineli_id	group_name	default	specific_tags	display_name	extra_tags	piece_weight	density_constant	example_brands	scientific_name	processing	classification	edible_portion	special_diets
552	Kokosfett	TRUE	100%	Kokosfett	kokos fett		0.9			Industriellt	Matlagnings- och industrifett	100 %	SOYAFREE, UNSWEET, LOWSALT, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
382	Kokosflingor	TRUE		Kokosflingor	kokos flingor, kokos		0.61		Cocos nucifera	Torkat	Nötter, frön	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
29014	Kokosmjölk	TRUE		Kokosmjölk	kokos mjölk		1			Konserverat	Nötter, frön	100 %	CHOLFREE, SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, SALTFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
34140	Kokosolja	TRUE		Kokosolja	kokos olja		0.95			Industriellt	Olja	100 %	SOYAFREE, UNSWEET, NAGLUFRE, LOWSALT, LACSFREE, MILKFREE, SALTFREE, LACVEGE, VEGAN, GLUTFREE, LACOVEGE, EGGFREE
34688	Kokosvatten	TRUE	osötad	Kokosvatten	kokos vatten		1			Industriellt	Nötter, frön	100 %	SOYAFREE, NAGLUFRE, LOWPROT, MILKFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
907	Konjak/rom/whiskey	TRUE	konjak, rom, whiskey, 40 vol-% alkohol	Konjak/rom/whiskey	konjak, rom, whiskey		1			Industriellt	Starksprit	100 %	SOYAFREE, UNSWEET, LOWPROT, MILKFREE, LACSFREE, SALTFREE, LACVEGE, VEGAN, LACOVEGE, EGGFREE
34238	Koriander	TRUE	färsk	Koriander	koriander				Coriandrum sativum	Obehandlat	Bladgrönsaker	100 %	SOYAFREE, UNSWEET, NAGLUFRE, LACSFREE, MILKFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
152	Kornflingor	TRUE		Kornflingor					Hordeum vulgare	Obehandlat	Havre, korn	100 %	SOYAFREE, UNSWEET, MILKFREE, LACSFREE, SALTFREE, LACVEGE, VEGAN, LACOVEGE, EGGFREE
151	Korngryn	TRUE		Korngryn					Hordeum vulgare	Obehandlat	Havre, korn	100 %	SOYAFREE, UNSWEET, MILKFREE, LACSFREE, SALTFREE, LACVEGE, VEGAN, LACOVEGE, EGGFREE
150	Kornmjöl	TRUE		Kornmjöl	fullkornsmjöl				Hordeum vulgare	Obehandlat	Havre, korn	100 %	SOYAFREE, UNSWEET, MILKFREE, LACSFREE, SALTFREE, LACVEGE, VEGAN, LACOVEGE, EGGFREE
34248	Kornmjöl		fullkorn	Kornmjöl (fullkorn)					hardeum vulgare	Obehandlat	Havre, korn	100 %	SOYAFREE, UNSWEET, LACSFREE, MILKFREE, LACVEGE, VEGAN, LACOVEGE, EGGFREE
68	Kornstärkelse	TRUE		Kornstärkelse	kornstärkelser					Industriellt	Stärkelse	100 %	SOYAFREE, UNSWEET, MILKFREE, LACSFREE, SALTFREE, LACVEGE, VEGAN, LACOVEGE, EGGFREE
11052	Körsbär	TRUE	kärnfri	Körsbär		6	0.6		Prunus avium L., prunus cerasus L.	Obehandlat	Övrig frukt	100 %	
28920	Körsbär		vägd med kärna	Körsbär		7	0.6		Prunus avium, prunus cerasus	Obehandlat	Övrig frukt	91 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE, SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, VEGAN
11512	Kotlettrad	TRUE		Kotlettrad	kotlettrader					Obehandlat	Gris	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, GLUTFREE, EGGFREE
38	Köttbuljong	TRUE	Köttbuljongpulver/koncentrat	Köttbuljong						Industriellt	Kryddsåser	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, GLUTFREE, EGGFREE
743	Köttkonserv, gris-nöt	TRUE	gris-nöt	Kött (konsverv)	köttkonserver, griskonserv, griskonserver					Konserverat	Nöt	100 %	NAGLUFRE, LOWSALT, MILKFREE, LACSFREE, GLUTFREE, EGGFREE
741	Köttkonserv, nöt	TRUE	nötkött	Nötkött (konsverv)	nötkonserv, nötkonserver					Konserverat	Nöt	100 %	LOWSALT, NAGLUFRE, MILKFREE, LACSFREE, HIGHSALT, GLUTFREE, EGGFREE
836	Kräfta	TRUE		Kräftor	kräftstjärtar, kräftor				Astacus	Obehandlat	Skaldjur	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, GLUTFREE, EGGFREE
32456	Kronärtskocka	TRUE		Kronärtskocka	kronärtskockor					Obehandlat	Bladgrönsaker	100 %	CHOLFREE, SOYAFREE, UNSWEET, NAGLUFRE, LACSFREE, MILKFREE, SALTFREE, LACVEGE, VEGAN, GLUTFREE, LACOVEGE, EGGFREE
398	Krossade tomater	TRUE		Krossade tomater	tomatkross				Lycopersicon esculentum	Konserverat	Grönsakskonserver	100 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE, SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, VEGAN, FATFREE
