id	name	energi, beräknad (kJ)	kolhydrater, digererbara (g)	fett, totalt (g)	protein, totalt (g)	alkohol (g)	fiber, totalt (g)	organiska syror, totalt (g)	sockeralkoholer (g)	stärkelse, totalt (g)	sockerarter, totalt (g)	fruktos (g)	galaktos (g)	glukos (g)	laktos (g)	maltos (g)	sackaros (g)	polysackarider, icke-cellulosa, lösliga (g)	fiber, olöslig (g)	fettsyror, totalt (g)	fettsyror, fleromättade (g)	fettsyror, enkelomättade cis (g)	fettsyror, mättade (g)	fettsyror, trans (g)	fettsyror, n-3 fleromättade (g)	fettsyror, n-6 fleromättade (g)	fettsyra 18:2 cis,cis n-6 (linolsyra) (mg)	fettsyra 18:3 n-3 (alfa-linolensyra) (mg)	fettsyra 20:5 n-3 (EPA) (mg)	fettsyra 22:6 n-3 (DHA) (mg)	kolesterol (GC) (mg)	steroler, totalt (mg)	kalcium (mg)	järn (mg)	jodid (jod) (µg)	kalium (mg)	magnesium (mg)	natrium (mg)	salt (mg)	fosfor (mg)	selen (µg)	zink (mg)	tryptofan (mg)	folat, total (µg)	niacinekvivalenter (mg)	niacin (nikotinsyra+nikotinamid) (mg)	pyridoxin vitamerer (hydroklorid) (mg)	riboflavin (mg)	tiamin (vitamin B1) (mg)	vitamin B12 (kobalamin) (µg)	vitamin C (askorbinsyra) (mg)	vitamin A RAE (µg)	karotenoider, totalt (µg)	vitamin D (µg)	vitamin E, alfatokoferol (mg)	vitamin K, totalt (µg)
33909	Juice, tillsatt c- och d-vitamin, probiotika, valio gefilus	184	9.8	<0.1	0.5	0	0	0.5	0	0	9.8	4.6	0	3.7	0	0	1.6	0	0	<0.1	<0.1	<0.1	<0.1	0	<0.1	<0.1	16	9	0	0	<0.1	6.1	8.5	0.3	0.8	141.6	6	3.7	9.3	12.9	0.2	<0.1	4.2	8.7	0.3	0.2	00.05	00.03	00.05	0	40	1	45.8	1	0.2	00.14
390	Juice, tomatjuice	94	3.4	0.3	0.6	0	1.4	0.4	0	0	3.4	2	N/A	1.3	0	0	<0.1	0.2	0.2	0.2	<0.1	<0.1	<0.1	0	<0.1	<0.1	83	7	0	0	0.1	2.5	8.6	0.2	1	237.1	8.3	360	917.3	25.9	0.5	<0.1	9	11.6	0.8	0.7	00.08	00.04	00.06	0	14.1	47.3	3829.3	0	0.7	4
30395	Juice, tranbär-lingonjuice	147	6.2	0.7	0.5	0	0	0.7	0	0.3	5.8	2.6	N/A	3	0	<0.1	0.1	0	0	0.3	0.3	<0.1	<0.1	0	0.1	0.1	125	143	0	0	0	22.9	17.5	0.6	1	52.5	8.5	1.4	3.7	13.5	0.1	0.2	8	10.8	0.4	0.3	00.03	00.04	00.06	0	15.3	1.3	40.6	0	1.2	9
11503	Juice, vinddruvsjuice	265	14	0	1	0	0	0.8	0	0	14	7	0	6.9	0	0	<0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6	9.6	1	1	201.8	7.2	5	12.7	23.9	0.5	<0.1	3	2	0.2	0.2	00.04	00.04	00.05	0	30	2.7	104.9	0	0.6	0.2
436	Juice, vitamin c, medelvärde	187	10.2	0.1	0.2	0	0	0.6	0	0	10.2	4.1	0	3	0	0	3.1	0	0	<0.1	<0.1	<0.1	<0.1	0	<0.1	<0.1	29	20	0	0	0.2	9	9.7	<0.1	1	162	7.6	3.7	9.5	12.5	<0.1	<0.1	6.6	17.6	0.4	0.3	00.07	00.02	00.06	0	33.9	0.5	32.8	0	0.1	00.17
30606	Juice, vitamin c, vitamin d, probiotika	202	10.9	<0.1	0.5	0	0	0.5	0	0	10.9	6	0	4.1	0	0	0.8	0	0	<0.1	<0.1	<0.1	<0.1	0	<0.1	<0.1	20	5	0	0	0	8.2	9.8	0.4	1	153.5	6.4	3.3	8.5	14.2	0.5	<0.1	3.3	2.7	0.2	0.2	00.04	00.03	00.03	0	40	1.4	83.6	1	0.2	01.16
433	Juice, äppeljuice, vitamin c	192	10.7	<0.1	0.2	0	0	0.4	0	0	10.7	6.1	0	3.1	0	0	1.5	0	0	<0.1	<0.1	<0.1	<0.1	0	<0.1	<0.1	23	6	0	0	0	6	9	0.1	1	110	5	3.6	9.2	6	<0.1	<0.1	3.9	4	0.2	<0.1	00.06	00.03	00.04	0	30	0	16	0	0	0.1
26	Jäst, färsk	312	1.1	0.4	13.1	0	6.9	N/A	N/A	1.1	0	0	N/A	0	0	0	0	1.5	5.4	0.3	0	0.3	0	0	0	0	0	0	0	0	0	0	12	2.1	4	640	30	4.4	11.2	340	1	4.5	106	1250	14.1	12.3	00.48	2	0.5	0	0	0	0	0	0	0
932	Kaffe, cappuccino, osötad, helmjölk	188	3.4	2.4	2.2	0	0	0.1	0	0	3.4	0	0	0	3.3	0	0	0	0	2.1	<0.1	0.5	1.5	<0.1	<0.1	<0.1	31	8	0	0	7.6	0.1	86.5	<0.1	9.7	143.7	11.3	30.3	77.2	64.7	2	0.3	30.5	2.9	0.7	0.3	00.03	0.1	00.02	0.2	0.4	23.4	9.6	0.7	<0.1	00.56
930	Kaffe, filterkaffe	11	0.3	<0.1	0.3	0	0	N/A	N/A	0	0.3	0	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	<0.1	0.5	99	11	0.2	0.5	8.4	<0.1	<0.1	0	0	0.7	0.7	0	<0.01	0	0	0	0	0	0	0	00.06
33428	Kaffe, instant, kaffedryck	4	<0.1	<0.1	0.1	0	0	0	0	<0.1	0	0	0	0	0	0	0	0	0	<0.1	<0.1	<0.1	<0.1	0	<0.1	<0.1	2	<1	0	0	0	0	5.3	<0.1	N/A	42.5	3.9	1.6	4.2	3.6	0.2	<0.1	0.4	0	0.3	0.3	0	<0.01	<0.01	0	0	0	0	0	0	00.02
900	Kaffe, kaffedryck, medelvärde	13	0.3	<0.1	0.3	0	0	N/A	N/A	0	0.3	0	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	3.6	<0.1	1	99	11	0.2	0.5	8.4	<0.1	<0.1	0	0	0.7	0.7	0	<0.01	0	0	0	0	0	0	0	00.03
931	Kaffe, pannkaffe	16	0.3	0.1	0.3	0	0	N/A	N/A	0	0.3	0	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	<0.1	0.5	81	7.6	0.2	0.5	5.5	<0.1	<0.1	0	0	0.7	0.7	0	<0.01	0	0	0	0	0	0	0	N/A
