"Titel","Portioner","Ingredienser"
"Linsgryta","4","11521_170_gram;386_150_gram;31219_180_gram;29014_400_gram;335_100_gram;398_400_gram"
"Chili con Carne","4","11521_170_gram;11562_800_gram;31214_400_gram;386_200_gram;395_400_gram;398_900_gram;500_30_gram;355_150_gram"
"Pokébowl med kyckling","2","751_250_gram;34361_150_gram;391_30_gram;321_40_gram;11057_50_gram;300_50_gram;33456_15_gram;11521_120_gram;393_5_gram;33020_3_gram;929_5_gram;31_72_gram;335_30_gram"
"Hamburgare med pommes","4","11562_600_gram;124_220_gram;352_100_gram;331_40_gram;34234_75_gram;346_60_gram;562_100_gram;33449_40_gram;707_60_gram;207_600_gram"
"Frasvåfflor","4","631_397_gram;110_240_gram;922_300_gram;500_39_gram"
"Gravad laxpasta","4","818_200_gram;121_300_gram;11159_200_gram;28_25_gram;4_11_gram;11557_5_gram;369_13_gram"
