"Titel","Portioner","Ingredienser"
"Linsgryta","4","2477_170_gram;351_150_gram;884_180_gram;1590_400_gram;344_100_gram;422_400_gram"
"Chili con Carne","4","2477_170_gram;963_800_gram;3816_400_gram;351_200_gram;3817_400_gram;422_900_gram;29_30_gram;344_150_gram"
"Pokébowl med kyckling","2","1165_250_gram;574_150_gram;888_30_gram;355_40_gram;320_50_gram;289_50_gram;4941_15_gram;2481_120_gram;371_5_gram;1968_3_gram;1967_5_gram;909_72_gram;344_30_gram"
"Hamburgare med pommes och coleslaw","4","1110_600_gram;3818_220_gram;364_100_gram;340_40_gram;4947_75_gram;487_60_gram;43_100_gram;79_40_gram;1003_60_gram;244_600_gram;2075_300_gram"
"Frasvåfflor","4","1715_397_gram;1941_240_gram;1953_300_gram;29_39_gram"
"Gravad laxpasta","4","1285_200_gram;845_300_gram;1721_200_gram;1972_25_gram;1896_11_gram;645_5_gram;377_13_gram"
